product_id,product_name,current_price,original_price,discounted_price,on_sale,last_modified_at
ff284fac-7e5d-4442-9b23-ad59971f6f1d,Yarn Bee Ethereal Eyelash Yarn,5.94,8.49,5.94,True,2026-05-10T05:07:46.199Z
429e83c5-5d7d-4470-b6e5-ee0288b36006,Metallic I Love This Yarn,3.49,4.99,3.49,True,2026-05-10T05:08:56.142Z
b916a2e4-2772-433e-a323-38823f77409f,Yarn Bee Braided Basics Small Yarn,4.99,4.99,,,2026-05-10T05:07:39.672Z
2a4e94d8-4476-458b-a0e6-1d7015a8eb31,Yarn Bee Fundamental Cotton Yarn,3.84,5.49,3.84,True,2026-05-10T05:09:41.038Z
0e214d6f-fc2a-4c76-8ed1-39d33a4a1f6e,Yarn Bee Simply Flawless Yarn,5.24,7.49,5.24,True,2026-05-10T05:09:08.795Z
0c9bf109-b646-479e-b794-d2161aa4329a,Yarn Bee Scrub-Ology Yarn,2.79,3.99,2.79,True,2026-05-10T05:10:11.152Z
2b38dda6-4ab3-41fe-84f3-225178af8da4,Gradient I Love This Yarn,3.49,4.99,3.49,True,2026-05-10T05:12:45.542Z
c2525073-1afc-4fa2-887c-8aa87759eec6,Baby Bee Cuddly One Yarn,5.59,7.99,5.59,True,2026-05-10T05:10:18.026Z
a84bac85-bf98-41d5-9817-37ed825d97fe,Stitch Soak Scrub Yarn,2.79,3.99,2.79,True,2026-05-10T05:11:38.180Z
6b1e97ed-c5b0-469f-b70d-a18707259e47,Sport Weight I Love This Yarn,2.09,2.99,2.09,True,2026-05-10T05:10:12.661Z
222c3f74-76f9-4496-90e4-b61d24cb66a7,Yarn Bee Fur The Moment Yarn,4.89,6.99,4.89,True,2026-05-10T05:09:57.983Z
e0692259-f3cf-450b-a688-e49393603d30,Ombre Yarn Bee Soft Secret Yarn,4.19,5.99,4.19,True,2026-05-10T05:06:21.129Z
06fc849a-5b14-4df7-8079-effea9b1eb4f,Yarn Bee Easygoing Yarn,3.49,4.99,3.49,True,2026-05-10T05:12:33.999Z
99930ff2-47d2-4614-9449-1b1f5f75ac23,Yarn Bee Scrub-Ology Scrub It Yarn,3.49,4.99,3.49,True,2026-05-10T05:06:34.668Z
e4ca2770-922b-4bb7-903a-4b1e9b56ba67,Yarn Bee Soft & Sleek Chunky Yarn,3.49,4.99,3.49,True,2026-05-10T05:10:53.790Z
62325b03-d1bd-4823-8815-ed6d835cd498,Baby Bee Sweet Delight Wrap Yarn,4.19,5.99,4.19,True,2026-05-10T05:06:56.657Z
2d3b292d-4409-429b-8fab-edc966e48e34,Yarn Bee Braided Basics Rope - 5mm,4.99,4.99,,,2026-05-10T05:10:06.007Z
8c582f22-4c87-46a8-8d6b-ef89b10b69fb,Yarn Bee True Colors Yarn,3.49,4.99,3.49,True,2026-05-10T05:10:27.013Z
8f240194-4908-4a91-9521-209723e5a55d,Yarn Bee Soft & Sleek DK Yarn,4.19,5.99,4.19,True,2026-05-10T05:09:50.703Z
6d5c68e8-6c49-4dd4-bc70-6835fa5b4c45,Yarn Bee Scrub-Ology Cotton Yarn,4.19,5.99,4.19,True,2026-05-10T05:11:37.757Z
1f5cbfad-e079-415e-9ce3-4c03b513a625,Yarn Bee Yarntopia Yarn,3.14,4.49,3.14,True,2026-05-10T05:08:27.538Z
36197574-0587-4968-ac93-1ba9b1ad7985,Yarn Bee Velvety Smooth Sparkle Yarn,3.84,5.49,3.84,True,2026-05-10T05:08:43.769Z
f9b89d02-65bb-4ff0-b2b0-65b3c93c5484,Yarn Bee Braided Basics String - 3mm,4.99,4.99,,,2026-05-10T05:12:21.540Z
5e77b198-029b-4ab5-a7d8-1b29d76f2b76,I Love This Chunky Yarn,3.84,5.49,3.84,True,2026-05-10T05:10:50.691Z
c9c8a1f1-eecd-4257-93b2-1b2e9593137d,Yarn Bee Authentic Hand-Dyed Yarn,16.79,23.99,16.79,True,2026-05-10T05:08:17.269Z
6de4ba31-5ad2-47bb-8d37-8b5454579723,Yarn Bee Bamboo-Tiful Yarn,4.19,5.99,4.19,True,2026-05-10T05:10:59.317Z
765df838-7a4c-423d-a8d7-69c9d3054d17,Baby Bee Adore-A-Ball Yarn,3.49,4.99,3.49,True,2026-05-10T05:07:38.016Z
cb1565c7-bf24-4398-8db4-d3e640f1ada0,Yarn Bee Velvety Smooth Yarn,3.84,5.49,3.84,True,2026-05-10T05:10:01.377Z
352a10f8-8d34-4879-b909-75507c6ea7ca,Sparkle Yarn Bee Soft & Sleek Yarn,3.84,5.49,3.84,True,2026-05-10T05:09:12.988Z
f15ac9ac-14be-4223-8c21-fd88d3d192c5,Yarn Bee Effortless Super Bulky Yarn,6.99,9.99,6.99,True,2026-05-10T05:06:55.999Z
2e9fa51d-e8df-47d6-875b-611421bea737,Baby Bee Sweet Delight Yarn,4.54,6.49,4.54,True,2026-05-10T05:11:41.031Z
13c74707-310c-4009-8ab1-8564dc1a1e13,Yarn Bee Perfectly Plush Yarn,6.99,9.99,6.99,True,2026-05-10T05:06:17.471Z
1044f207-1584-4040-80ed-bb8b68389826,Yarn Bee Dream Supreme Yarn,6.29,8.99,6.29,True,2026-05-10T05:07:42.646Z
57df65b3-344f-4948-ab0c-554fb4ba86f4,Lion Brand Ice Cream Yarn,3.49,4.99,3.49,True,2026-05-10T05:07:54.949Z
9750e288-b8e2-4304-ad30-0e46f760d39b,Yarn Bee Must Be Merino Aran Yarn,4.89,6.99,4.89,True,2026-05-10T05:06:10.292Z
78e60eaf-7218-4a56-9ba4-8c0e583c5c77,Yarn Bee Chloe Yarn,5.59,7.99,5.59,True,2026-05-10T05:08:16.411Z
11f371cf-c7bf-4e80-908a-837aac39f16a,Baby Bee Sweet Delight Pomp Yarn,4.19,5.99,4.19,True,2026-05-10T05:09:24.804Z
