product_id,product_name,brand,fiber,yarn_weight,department,category,subcategory,color_family,keywords,availability,on_sale,in_stock,is_new
0ffcfb79-c28a-43d0-afac-fbb9827ad2a5,Print I Love This Cotton Yarn,I Love this Cotton,100% Cotton,4 - Medium,Yarn & Needle Art,Yarn & Tools,Yarn,multi,,BOTH,True,True,False
b371bbf1-4cbd-49a4-b5d0-9d8db1da9311,Yarn Bee Bejeweled Sequin Yarn,Yarn Bee,"40% Metallic Polyester, 30% Sequin Polyester & 30% Polyester",1 - Super Fine,Yarn & Needle Art,Yarn & Tools,Yarn,gold,,BOTH,,True,False
23ff6da0-5c40-4c63-be46-58839f5f2e81,Baby Bee Stork Struck Yarn,Baby Bee,50% Lyocell & 50% Acrylic,4 - Medium,Yarn & Needle Art,Yarn & Tools,Yarn,multi,,BOTH,True,True,False
928cc761-f240-4fa7-95b2-d81adaa81013,Yarn Bee Cozy Occasion Yarn,Yarn Bee,100% Polyester,6 - Super Bulky,Yarn & Needle Art,Yarn & Tools,Yarn,multi,,BOTH,True,True,False
0bde45b2-3c1f-410a-bd69-d3479b3b20d4,Crafter's Secret Solid Cotton Yarn,Crafter's Secret,100% Cotton,4 - Medium,Yarn & Needle Art,Yarn & Tools,Yarn,brown,,BOTH,True,True,False
8561296e-0b26-4f76-8a1f-f5f2e2da6202,Ombre Print I Love This Yarn,I Love this Yarn,100% Acrylic,4 - Medium,Yarn & Needle Art,Yarn & Tools,Yarn,blue,,BOTH,True,True,False
ae3eefb7-756e-4b1e-8f33-94ace39e5d15,Yarn Bee Scrub-Ology Cotton Yarn,Yarn Bee,100% Cotton,4 - Medium,Yarn & Needle Art,Yarn & Tools,Yarn,green,,BOTH,True,True,False
039d7a30-f3c6-4279-8280-37f20b81f6aa,Yarn Bee Breathe Deep Super Bulky Yarn,Yarn Bee,100% Polyester,6 - Super Bulky,Yarn & Needle Art,Yarn & Tools,Yarn,pink,,BOTH,True,True,False
a4707f91-b646-48f2-a5d4-da00c29240de,I Love This Chunky Print Yarn ,I Love This Chunky,100% Acrylic,5 - Bulky,Yarn & Needle Art,Yarn & Tools,Yarn,multi,,BOTH,True,True,False
1abdcf37-32c3-4bbf-97e9-0d64242b8cdf,Yarn Bee Dream Spun Yarn,Yarn Bee,80% Acrylic & 20% Superwash Wool,5 - Bulky,Yarn & Needle Art,Yarn & Tools,Yarn,white,,BOTH,True,True,False
4f50f65d-b887-4519-b2b9-f097b0f5c6e7,Yarn Bee Braided Basics XXL,Yarn Bee,69% Cotton & 31% Polyester,,Yarn & Needle Art,Yarn & Tools,Yarn,gold,,BOTH,,True,False
8a4def4c-6764-470e-9c60-813fd4abb8fe,Yarn Bee Pearlspun Low Pill Fiber Yarn,Yarn Bee,100% Low Pill Acrylic,4 - Medium,Yarn & Needle Art,Yarn & Tools,Yarn,red,,BOTH,True,True,False
1be7883d-097f-4e82-b7d5-fa4a55f4d2c5,Yarn Bee Eternal Bliss Yarn,Yarn Bee,100% Polyester,7 - Jumbo,Yarn & Needle Art,Yarn & Tools,Yarn,black,,BOTH,True,True,False
ff284fac-7e5d-4442-9b23-ad59971f6f1d,Yarn Bee Ethereal Eyelash Yarn,Yarn Bee,75% Acrylic & 25% Polyamide,5 - Bulky,Yarn & Needle Art,Yarn & Tools,Yarn,purple,,BOTH,True,True,False
429e83c5-5d7d-4470-b6e5-ee0288b36006,Metallic I Love This Yarn,I Love this Yarn,97% Acrylic & 3% Metallic Polyester,4 - Medium,Yarn & Needle Art,Yarn & Tools,Yarn,bluegreen,,BOTH,True,True,False
b916a2e4-2772-433e-a323-38823f77409f,Yarn Bee Braided Basics Small Yarn,Yarn Bee,,3 - Light,Yarn & Needle Art,Yarn & Tools,Yarn,beige,,BOTH,,True,False
2a4e94d8-4476-458b-a0e6-1d7015a8eb31,Yarn Bee Fundamental Cotton Yarn,Yarn Bee,100% Mercerized Cotton,4 - Medium,Yarn & Needle Art,Yarn & Tools,Yarn,yellow,,BOTH,True,True,False
0e214d6f-fc2a-4c76-8ed1-39d33a4a1f6e,Yarn Bee Simply Flawless Yarn,Yarn Bee,100% Low Pill Acrylic,3 - Light,Yarn & Needle Art,Yarn & Tools,Yarn,blue,,BOTH,True,True,False
0c9bf109-b646-479e-b794-d2161aa4329a,Yarn Bee Scrub-Ology Yarn,Yarn Bee,100% Polyester,4 - Medium,Yarn & Needle Art,Yarn & Tools,Yarn,silver,,BOTH,True,True,False
2b38dda6-4ab3-41fe-84f3-225178af8da4,Gradient I Love This Yarn,I Love this Yarn,100% Acrylic,4 - Medium,Yarn & Needle Art,Yarn & Tools,Yarn,multi,,BOTH,True,True,False
c2525073-1afc-4fa2-887c-8aa87759eec6,Baby Bee Cuddly One Yarn,Baby Bee,100% Polyester,7 - Jumbo,Yarn & Needle Art,Yarn & Tools,Yarn,blue,,BOTH,True,True,False
a84bac85-bf98-41d5-9817-37ed825d97fe,Stitch Soak Scrub Yarn,Lion Brand,100% Nylon,4 - Medium,Yarn & Needle Art,Yarn & Tools,Yarn,blue,,BOTH,True,True,False
6b1e97ed-c5b0-469f-b70d-a18707259e47,Sport Weight I Love This Yarn,I Love this Yarn,100% Acrylic,3 - Light,Yarn & Needle Art,Yarn & Tools,Yarn,purple,,BOTH,True,True,False
222c3f74-76f9-4496-90e4-b61d24cb66a7,Yarn Bee Fur The Moment Yarn,Yarn Bee,100% Polyester,6 - Super Bulky,Yarn & Needle Art,Yarn & Tools,Yarn,pink,,BOTH,True,True,False
e0692259-f3cf-450b-a688-e49393603d30,Ombre Yarn Bee Soft Secret Yarn,Yarn Bee,100% Acrylic,4 - Medium,Yarn & Needle Art,Yarn & Tools,Yarn,multi,,BOTH,True,True,False
06fc849a-5b14-4df7-8079-effea9b1eb4f,Yarn Bee Easygoing Yarn,Yarn Bee,60% Acrylic & 40% Polyamide,4 - Medium,Yarn & Needle Art,Yarn & Tools,Yarn,black,,BOTH,True,True,False
99930ff2-47d2-4614-9449-1b1f5f75ac23,Yarn Bee Scrub-Ology Scrub It Yarn,Yarn Bee,100% Nylon,5 - Bulky,Yarn & Needle Art,Yarn & Tools,Yarn,green,,BOTH,True,True,False
e4ca2770-922b-4bb7-903a-4b1e9b56ba67,Yarn Bee Soft & Sleek Chunky Yarn,Yarn Bee,100% Low Pill Acrylic,5 - Bulky,Yarn & Needle Art,Yarn & Tools,Yarn,red,,BOTH,True,True,False
62325b03-d1bd-4823-8815-ed6d835cd498,Baby Bee Sweet Delight Wrap Yarn,Baby Bee,60% Acrylic & 40% Polyamide,3 - Light,Yarn & Needle Art,Yarn & Tools,Yarn,white,,BOTH,True,True,False
2d3b292d-4409-429b-8fab-edc966e48e34,Yarn Bee Braided Basics Rope - 5mm,Yarn Bee,80% Cotton & 20% Polyester,5 - Bulky,Yarn & Needle Art,Yarn & Tools,Yarn,purple,,BOTH,,True,False
8c582f22-4c87-46a8-8d6b-ef89b10b69fb,Yarn Bee True Colors Yarn,Yarn Bee,100% Acrylic,6 - Super Bulky,Yarn & Needle Art,Yarn & Tools,Yarn,pink,,BOTH,True,True,False
8f240194-4908-4a91-9521-209723e5a55d,Yarn Bee Soft & Sleek DK Yarn,Yarn Bee,100% Low Pill Acrylic,3 - Light,Yarn & Needle Art,Yarn & Tools,Yarn,white,,BOTH,True,True,False
6d5c68e8-6c49-4dd4-bc70-6835fa5b4c45,Yarn Bee Scrub-Ology Cotton Yarn,Yarn Bee,100% Cotton,4 - Medium,Yarn & Needle Art,Yarn & Tools,Yarn,multi,,BOTH,True,True,False
